problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
convex3_10_1,10,4.50E-05,0,27,27,-,25
convex3_100_1,100,4.95E-05,0,297,297,-,25
convex3_15_1,15,4.67E-05,0,42,42,-,25
convex3_20_1,20,4.75E-05,0,57,57,-,25
convex3_200_1,200,4.98E-05,0,597,597,-,25
convex3_25_1,25,4.80E-05,0,72,72,-,25
convex3_30_1,30,4.83E-05,0,87,87,-,25
convex3_35_1,35,4.86E-05,0,102,102,-,25
convex3_40_1,40,4.88E-05,0,117,117,-,25
convex3_45_1,45,4.89E-05,0,132,132,-,25
convex3_5_1,5,4.00E-05,0,12,12,-,25
convex3_50_1,50,4.90E-05,0,147,147,-,25
convex4_10_1,10,0.007582629,8.21E-31,61.8230663,61.8230663,-,2500
convex4_10_2,10,0.005464401,5.34E-29,79.8965062,79.8965062,-,2500
convex4_10_3,10,0.005208505,3.30E-27,21.56561151,21.56561151,-,2500
convex4_10_4,10,0.000797673,2.49E-27,44.91110513,44.91110513,-,123
convex4_10_5,10,0.002409978,4.24E-21,66.60722736,66.60722736,-,2500
convex4_100_1,100,0,4.16E-28,1455.473322,1455.473322,-,15
convex4_100_2,100,0,2.60E-27,1846.362874,1846.362874,-,15
convex4_100_3,100,0.008456921,3.62E-24,3127.605503,3127.605503,-,2500
convex4_100_4,100,0,2.15E-22,2460.943795,2460.943795,-,15
convex4_100_5,100,0,8.99E-23,3119.042185,3119.042185,-,15
convex4_15_1,15,0.004136563,2.11E-24,22.16471437,22.16471437,-,2500
convex4_15_2,15,0.009096944,1.30E-29,31.79854702,31.79854702,-,2500
convex4_15_3,15,0.008428429,4.59E-24,58.05932262,58.05932262,-,2500
convex4_15_4,15,0.004571649,9.74E-30,232.2599448,232.2599448,-,2500
convex4_15_5,15,0.007183028,1.27E-30,43.06734601,43.06734601,-,2500
convex4_20_1,20,0.006352498,7.43E-26,214.300916,214.300916,-,2500
convex4_20_2,20,0.003954746,2.31E-24,73.47887143,73.47887143,-,2500
convex4_20_3,20,0.014196169,8.92E-19,116.7543366,116.7543366,-,2500
convex4_20_4,20,0.00577206,1.45E-24,108.6759132,108.6759132,-,2500
convex4_20_5,20,0.009532058,3.45E-27,114.6075878,114.6075878,-,2500
convex4_200_1,200,0,3.55E-23,12632.37483,12632.37483,-,15
convex4_200_2,200,0,3.30E-24,9865.743919,9865.743919,-,15
convex4_200_3,200,0,1.76E-20,9771.394348,9771.394348,-,15
convex4_200_4,200,0,3.28E-18,7865.936525,7865.936525,-,15
convex4_200_5,200,0,6.45E-27,10605.80662,10605.80662,-,15
convex4_25_1,25,0,6.01E-25,106.9248868,106.9248868,-,15
convex4_25_2,25,0,2.08E-29,302.6765737,302.6765737,-,15
convex4_25_3,25,0,1.84E-17,101.9708253,101.9708253,-,15
convex4_25_4,25,0,7.26E-30,139.892231,139.892231,-,15
convex4_25_5,25,0,3.25E-26,467.9552043,467.9552043,-,15
convex4_30_1,30,0.007557904,2.20E-26,236.0488182,236.0488182,-,2500
convex4_30_2,30,0.014106902,3.18E-21,226.6556754,226.6556754,-,2500
convex4_30_3,30,0.007644283,2.88E-27,253.2238965,253.2238965,-,2500
convex4_30_4,30,0.008183629,2.72E-29,233.3852717,233.3852717,-,2500
convex4_30_5,30,0.011406391,5.23E-22,437.6041995,437.6041995,-,2500
convex4_35_1,35,0.008643565,2.01E-29,248.390055,248.390055,-,2500
convex4_35_2,35,0.006124215,1.59E-26,194.4979309,194.4979309,-,2500
convex4_35_3,35,0.008370535,9.50E-22,458.3308083,458.3308083,-,2500
convex4_35_4,35,0.008345723,3.09E-23,297.7507961,297.7507961,-,2500
convex4_35_5,35,0.007594683,1.50E-20,178.9905887,178.9905887,-,2500
convex4_40_1,40,0.006719045,1.01E-25,754.9920806,754.9920806,-,2500
convex4_40_2,40,0.007227712,3.35E-25,694.4537549,694.4537549,-,2500
convex4_40_3,40,0.00636936,6.04E-26,720.9757278,720.9757278,-,2500
convex4_40_4,40,0.007745302,1.98E-26,924.4911897,924.4911897,-,2500
convex4_40_5,40,0.010124776,5.04E-27,310.4432936,310.4432936,-,2500
convex4_45_1,45,0.009092019,8.40E-25,815.3870117,815.3870117,-,2500
convex4_45_2,45,0.009258801,2.14E-25,571.8564252,571.8564252,-,2500
convex4_45_3,45,0.007980948,3.59E-22,681.1356608,681.1356608,-,2500
convex4_45_4,45,0.00689082,5.86E-26,910.3236006,910.3236006,-,2500
convex4_45_5,45,0.009496599,6.95E-28,581.3533746,581.3533746,-,2500
convex4_5_1,5,0.004338752,9.43E-31,7.126912725,7.126912725,-,2500
convex4_5_2,5,0.004566164,1.02E-30,17.35925312,17.35925312,-,2500
convex4_5_3,5,0.000305268,8.73E-23,4.76133267,4.76133267,-,2500
convex4_5_4,5,0.015717416,1.33E-31,7.194927665,7.194927665,-,2500
convex4_5_5,5,0.003698712,8.04E-19,34.72103299,34.72103299,-,2500
convex4_50_1,50,0,4.93E-26,849.487736,849.487736,-,15
convex4_50_2,50,0,3.71E-21,609.5908143,609.5908143,-,15
convex4_50_3,50,0,3.24E-17,670.3791434,670.3791434,-,15
convex4_50_4,50,0,3.76E-24,848.5976817,848.5976817,-,15
convex4_50_5,50,0,3.00E-25,632.2137796,632.2137796,-,15
